"","SHHADID","SPANEL","SSUID","SWAVE","PNUM","MONTHCODE","WPFINWGT","TAGE","EDUCATION","SEX","RACE","METRO_STATUS","EMPLOYMENT_TYPE","CLASS_OF_WORKER","TFTOTINC","ANY_RETIREMENT_ACCESS","PARTICIPATING","MATCHING","TJB1_JOBHRS1","TOTYEARINC","in_age_range","FULL_PART_TIME"
"1",11,2021,11428546521,1,101,12,3237.10782802073,63,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",2512,"No","No","No",35,30144,"yes","full time"
"2",11,2021,11428576521,1,101,12,6390.12280633972,45,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",15832,"No","No","No",45,189984,"yes","full time"
"3",11,2021,11481646521,1,102,12,12385.4028749766,37,"Some college","Male","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",2874,"No","No","No",40,34488,"yes","full time"
"4",11,2018,11481677018,4,101,12,3948.6340024756,60,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",1948,"Yes","Yes","Yes",30,23376,"yes","part time"
"5",21,2018,13345043118,4,202,12,2425.80214675328,21,"High School or less","Male","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",3486,"No","No","No",40,41832,"yes","full time"
"6",41,2018,13389233418,4,101,12,4149.91281358735,24,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",1259,"No","No","No",20,15108,"yes","part time"
"7",11,2018,28503462618,4,101,12,3473.7984314901,61,"High School or less","Female","Non-Hispanic White","Not identified","Employer","Employee of a private, not-for-profit company",6190,"No","No","No",15,74280,"yes","part time"
"8",11,2018,28503462618,4,102,12,3473.7984314901,64,"Some college","Male","Non-Hispanic White","Not identified","Employer","Employee of a private, for-profit company",6190,"Yes","Yes","Yes",40,74280,"yes","full time"
"9",11,2018,28504944018,4,102,12,3862.36794734783,58,"High School or less","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2402,"No","No","No",40,28824,"yes","full time"
"10",11,2018,28509223518,4,102,12,5849.35375486505,56,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",5019,"Yes","Yes","No",36,60228,"yes","full time"
"11",11,2018,28509233418,4,102,12,7470.72351994459,59,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",7861,"No","No","No",30,94332,"yes","part time"
